Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0028327	7274	1993	2381	9981	3786	4276	3664	3115	3393	5090	5295	5241	4299.51	3391	5209	1.536	0.619	7.558	4.09835129976588e-14	1.92622511088997e-12	0.003	0.0051	0.0046	0.0046	TRUE	NA
FBgn0035761	866	268	318	1473	534	626	436	419	453	751	747	767	595.57	436	755	1.73	0.791	7.556	4.16041798992589e-14	1.93598298406741e-12	0	0.0089	0.006	0.006	TRUE	NA
FBgn0031689	372	116	136	787	257	318	187	181	194	401	359	390	285.5	187	383	2.054	1.038	7.469	8.09903331308165e-14	3.69001874927649e-12	0	0.0137	0.0097	0.0097	TRUE	NA
FBgn0001124	1824	695	789	2784	1197	1380	919	1086	1124	1420	1674	1691	1319.07	1043	1595	1.531	0.614	7.465	8.35516765628744e-14	3.76826500861853e-12	0	0.0065	0.004	0.004	TRUE	NA
FBgn0038198	46	19	8	198	75	117	23	30	11	101	105	143	68.92	21	116	5.311	2.409	7.397	1.38853778136111e-13	6.16897631221626e-12	0.08	0.0424	0.0476	0.0476	TRUE	NA
FBgn0022702	330	180	180	691	352	413	166	281	256	352	492	506	342.48	234	450	1.951	0.964	7.394	1.42110178326747e-13	6.28239550721707e-12	0	0.0122	0.0088	0.0088	TRUE	NA
FBgn0261284	32	11	14	166	60	92	16	17	20	85	84	113	55.76	18	94	5.278	2.4	7.393	1.4402680458115e-13	6.33576041827421e-12	0	0.0513	0.0411	0.0411	TRUE	NA
FBgn0037680	665	191	221	1237	389	440	335	298	315	631	544	539	443.75	316	571	1.811	0.857	7.38	1.57881218019511e-13	6.91117292605017e-12	0	0.0104	0.007	0.007	TRUE	NA
FBgn0029147	1329	495	600	2147	969	1027	669	774	855	1095	1355	1259	1001.14	766	1236	1.615	0.692	7.368	1.72742552218334e-13	7.52483410394986e-12	0.0011	0.0071	0.0052	0.0052	TRUE	NA
FBgn0027515	667	206	250	1255	430	475	336	322	356	640	601	582	472.95	338	608	1.804	0.851	7.336	2.2026312967167e-13	9.50217269549765e-12	0	0.01	0.0072	0.0072	TRUE	NA
FBgn0063492	955	262	325	1567	536	681	481	409	463	799	750	835	622.83	451	795	1.756	0.812	7.29	3.09669599473565e-13	1.32313374320523e-11	0.0028	0.0087	0.0071	0.0071	TRUE	NA
FBgn0003076	2397	751	910	3500	1401	1772	1207	1174	1297	1785	1960	2172	1598.97	1226	1972	1.601	0.679	7.276	3.42850314145065e-13	1.4579301453883e-11	0.0044	0.0062	0.0056	0.0056	TRUE	NA
FBgn0259740	1061	286	356	2197	546	666	534	447	507	1120	764	816	698.15	496	900	1.808	0.854	7.241	4.45763850022957e-13	1.86885970925118e-11	0.0082	0.0083	0.0082	0.0082	TRUE	NA
