Align,DE,Direction,ID,,,,,,
Sailfish,Limma,down,FBtr0072864,,,,,,
Sailfish,Limma,down,FBtr0088224,,,,,,
Sailfish,Limma,down,FBtr0088774,,,,,,
Sailfish,Limma,down,FBtr0087307,,,,,,
Sailfish,Limma,down,FBtr0303387,,,,,,
Sailfish,Limma,down,FBtr0301500,,,,,,
Sailfish,Limma,down,FBtr0085997,,,,,,
Sailfish,Limma,up,FBtr0076772,,,,,,
Sailfish,Limma,up,FBtr0112994,,,,,,
Sailfish,Limma,up,FBtr0332202,,,,,,
Sailfish,Limma,up,FBtr0089349,,,,,,
Sailfish,Limma,up,FBtr0347567,,,,,,
Sailfish,Limma,up,FBtr0077247,,,,,,
Sailfish,Limma,up,FBtr0300889,,,,,,
Sailfish,Limma,up,FBtr0085155,,,,,,
Sailfish,Limma,up,FBtr0075699,,,,,,
Sailfish,Limma,up,FBtr0347200,,,,,,
Sailfish,Limma,up,FBtr0076454,,,,,,
Sailfish,Limma,up,FBtr0088266,,,,,,
Sailfish,Limma,up,FBtr0073426,,,,,,
Sailfish,Limma,up,FBtr0072506,,,,,,
Sailfish,Limma,up,FBtr0077644,,,,,,
Sailfish,Limma,up,FBtr0342813,,,,,,
Sailfish,Limma,up,FBtr0302291,,,,,,
Sailfish,Limma,up,FBtr0346627,,,,,,
Sailfish,Limma,up,FBtr0340135,,,,,,
Sailfish,Limma,up,FBtr0340405,,,,,,
Sailfish,Limma,up,FBtr0088136,,,,,,
Sailfish,Limma,up,FBtr0087258,,,,,,
Sailfish,Limma,up,FBtr0081619,,,,,,
Sailfish,Limma,up,FBtr0071849,,,,,,
Sailfish,Limma,up,FBtr0332963,,,,,,
Sailfish,Limma,up,FBtr0089581,,,,,,
Sailfish,Limma,up,FBtr0337020,,,,,,
Sailfish,Limma,up,FBtr0333073,,,,,,
Sailfish,Limma,up,FBtr0075541,,,,,,
Sailfish,Limma,up,FBtr0076453,,,,,,
Sailfish,Limma,up,FBtr0342814,,,,,,
Sailfish,Limma,up,FBtr0072102,,,,,,
Sailfish,Limma,up,FBtr0305073,,,,,,
Sailfish,Limma,up,FBtr0299564,,,,,,
Sailfish,Limma,up,FBtr0331663,,,,,,
Sailfish,Limma,up,FBtr0342810,,,,,,
Sailfish,Limma,up,FBtr0090014,,,,,,
Sailfish,Limma,up,FBtr0304802,,,,,,
Sailfish,Limma,up,FBtr0342607,,,,,,
Sailfish,Limma,up,FBtr0081614,,,,,,
Sailfish,Limma,up,FBtr0076364,,,,,,
Sailfish,Limma,up,FBtr0076496,,,,,,
Sailfish,Limma,up,FBtr0078841,,,,,,
Sailfish,Limma,up,FBtr0113323,,,,,,
Sailfish,Limma,up,FBtr0310064,,,,,,
Sailfish,Limma,up,FBtr0080263,,,,,,
Sailfish,Limma,up,FBtr0080839,,,,,,
Sailfish,Limma,up,FBtr0301850,,,,,,
Sailfish,Limma,up,FBtr0306087,,,,,,
Sailfish,Limma,up,FBtr0074745,,,,,,
Sailfish,Limma,up,FBtr0339391,,,,,,
Sailfish,Limma,up,FBtr0080592,,,,,,
Sailfish,Limma,up,FBtr0083467,,,,,,
Sailfish,Limma,up,FBtr0073422,,,,,,
Sailfish,Limma,up,FBtr0301492,,,,,,
Sailfish,Limma,up,FBtr0301143,,,,,,
Sailfish,Limma,up,FBtr0100575,,,,,,
Sailfish,Limma,up,FBtr0087369,,,,,,
Sailfish,Limma,up,FBtr0112808,,,,,,
Sailfish,Limma,up,FBtr0086555,,,,,,
Sailfish,Limma,up,FBtr0072635,,,,,,
Sailfish,Limma,up,FBtr0073120,,,,,,
Sailfish,Limma,up,FBtr0070392,,,,,,
Sailfish,Limma,up,FBtr0299920,,,,,,
Sailfish,Limma,up,FBtr0076935,,,,,,
Sailfish,Limma,up,FBtr0345429,,,,,,
Sailfish,Limma,up,FBtr0076668,,,,,,
Sailfish,Limma,up,FBtr0113386,,,,,,
Sailfish,Limma,up,FBtr0304914,,,,,,
Sailfish,Limma,up,FBtr0310643,,,,,,
Sailfish,Limma,up,FBtr0089263,,,,,,
Sailfish,Limma,up,FBtr0079199,,,,,,
Sailfish,Limma,up,FBtr0339629,,,,,,
Sailfish,Limma,up,FBtr0078136,,,,,,
Sailfish,Limma,up,FBtr0072957,,,,,,
Sailfish,Limma,up,FBtr0333071,,,,,,
Sailfish,Limma,up,FBtr0089716,,,,,,
Sailfish,Limma,up,FBtr0085252,,,,,,
Sailfish,Limma,up,FBtr0071004,,,,,,
Sailfish,Limma,up,FBtr0345069,,,,,,
Sailfish,Limma,up,FBtr0299837,,,,,,
Sailfish,Limma,up,FBtr0085987,,,,,,
Sailfish,Limma,up,FBtr0332847,,,,,,
Sailfish,Limma,up,FBtr0330729,,,,,,
