"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0073421",4914.99682337295,4867.87934527309,5296.05593861055,470.508029328488,447.002681612016,539.41361036561,0.000325045388868622,-3.37372770340597,2.05477836063356e-08,0.0964732177339969,3.48805599053241
"FBtr0342811",8219.08633601653,9470.77880395708,8194.42254571777,830.469439426553,661.351923649476,657.323084559688,0.000486027634300222,-3.59467505425474,8.29613991088622e-08,0.0827741984656596,3.31333903715148
"FBtr0077645",2500.4389115307,2684.24917577168,2634.56696699102,465.383939118887,368.896046673921,423.58092169752,0.000495029889503531,-2.64169696340911,1.25173497567111e-07,0.160239645155929,3.30536857792591
"FBtr0089348",1663.68167071941,1686.65367058345,1525.73371521148,390.946790003135,429.958594187177,417.555696657379,0.000620164766451944,-1.97641805516766,2.35222744719114e-07,0.254120020338893,3.20749291105929
"FBtr0084549",1113.17482788073,1113.51802229311,1209.92528437729,143.372983652443,139.551878729416,150.112212856569,0.000486027634300222,-2.9871335146348,9.21728872179446e-08,0.126119781898356,3.31333903715148
"FBtr0302694",1490.77223879252,1567.95009955129,1529.87148080429,452.212933566852,494.359651080364,427.975756633804,0.000725225259251751,-1.7401363546137,3.20916417900136e-07,0.299341382921303,3.13952707804232
"FBtr0087533",5044.78326828303,5263.2111286388,5266.96391831509,2532.97206369153,2598.33440768037,2525.54187367342,0.000763932008374957,-1.02362298406813,3.86336435109656e-07,0.491879561889916,3.11694529286617
"FBtr0308065",1261.55584597924,1208.87480400156,1322.43203601408,456.030013950763,426.094870143015,445.522625374348,0.000932365738881698,-1.51415042158961,5.43881857990836e-07,0.350102575118565,3.0304136936328
"FBtr0072956",6738.39981816408,8187.53232788032,6694.64430979476,1552.49836628473,1568.08515730824,1385.7451870353,0.000932365738881698,-2.25761543682884,7.07275356633186e-07,0.209117334631959,3.0304136936328
"FBtr0072393",918.558931547376,966.491225016307,1042.92707762536,251.146828180386,227.928204714428,227.393500981152,0.000932365738881698,-2.04856563243724,6.68551140415233e-07,0.241724291818495,3.0304136936328
"FBtr0334328",1958.35598002513,1958.83922453322,2153.19116884037,719.79468578721,776.321732288575,693.431647772626,0.00112429510889753,-1.47079180576288,9.95014319777824e-07,0.360784232460338,2.94911967867461
"FBtr0290019",3203.08094483503,3464.52032992938,3545.03789813388,1258.23924398144,1049.07667313551,1172.31524354903,0.00133239697412424,-1.5555218393233,1.56831429466839e-06,0.340205450657986,2.87536636226324
"FBtr0073269",2543.82257858071,2324.92971299499,2231.69542064903,944.202694768991,996.931649472346,989.991530395631,0.00133239697412424,-1.2735264594591,1.81264498352963e-06,0.413647434800243,2.87536636226324
"FBtr0075753",4153.38396089817,4801.88685441286,4042.22286592381,1424.75228900476,1466.87933500248,1312.71313510457,0.00133239697412424,-1.62508381760678,1.79549809114565e-06,0.324191053283953,2.87536636226324
"FBtr0070985",690.85868363166,758.89902297546,646.680778543098,157.044785159194,177.968945534975,162.734985559006,0.00139078000975288,-2.07167915005695,2.19795816700309e-06,0.237882467365277,2.85674156023526
"FBtr0083967",383.401489536209,376.681790387563,395.340146173699,92.9775040856386,99.35831742084,104.925850154146,0.00133239697412424,-1.95899505499927,1.39448366680588e-06,0.257207558579935,2.87536636226324
"FBtr0074276",3159.15160608622,3124.51860665963,3094.42343732104,1429.14491326533,1554.05281279654,1310.8536189178,0.00203319225060858,-1.12961922542256,3.72732633337435e-06,0.457036336088616,2.69182155425378
"FBtr0300190",1019.15577830421,1088.70902011246,912.837736379404,81.8189931537028,101.649961169611,130.276546905404,0.00168428239827662,-3.29090552249767,2.87474712393127e-06,0.102173606865979,2.77358508995573
"FBtr0306255",1228.78680401141,1360.13330145563,1260.72448205961,620.76226104946,561.429259786152,591.110489498685,0.00208162178320959,-1.11698871455473,4.36888296278968e-06,0.461055165534517,2.68159817606774
"FBtr0113470",938.598895236431,1115.70053382426,973.222734962308,112.238876446476,70.4597315969049,69.9976786422219,0.00182161959087033,-3.61514177032958,3.22430928278458e-06,0.0816082168469019,2.73954231168522
"FBtr0299968",1181.88966660563,1251.33301318516,1404.75950498157,442.972195568329,428.812161509425,374.971166072105,0.00224533278157332,-1.62207368057828,5.10980340961119e-06,0.324868173690085,2.64871928295002
"FBtr0075811",4596.73481673041,5131.5886735949,4441.83900880801,2152.63218969162,2332.12436440408,2271.33564938249,0.00229972079543728,-1.06566572608608,6.1325592541794e-06,0.477752151029223,2.6383248876178
