"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0076772",579.150295797871,558.068485939801,581.388147149945,1469.79224521277,1492.39093345652,1517.71754155675,0.000620164766451944,1.38259540078555,1.97197082791658e-07,2.60737013934779,3.20749291105929
"FBtr0112994",487.130893382492,323.97715142449,348.811178835759,4139.4780841452,4872.05280745219,4195.5130758371,0.000932365738881698,3.53033957332739,6.47461611601614e-07,11.5541527947112,3.0304136936328
"FBtr0332202",424.342809233176,509.29617530629,391.598565922762,1781.69299350824,1743.80449314864,1835.85137852854,0.0010864967872648,2.0271035164401,8.92879337154205e-07,4.07585722740706,2.96397155353603
"FBtr0089349",1143.60112323929,955.913303536059,978.573786563712,3190.88262264116,3639.00626339291,3437.31846135769,0.00133239697412424,1.74091567064336,1.39724616542518e-06,3.34247245358534,2.87536636226324
"FBtr0347567",293.604395852312,323.866581084196,421.62639175968,1680.39725908411,1665.38164632085,1662.4787499284,0.00133239697412424,2.28717151485905,1.60979154180679e-06,4.88098228237583,2.87536636226324
"FBtr0077247",436.150290689879,461.68921978865,460.066431968805,1043.17533511377,969.16769925867,1012.46463140554,0.00133239697412424,1.15585923598413,1.86545288938216e-06,2.22816988809364,2.87536636226324
"FBtr0300889",224.131697464209,238.073131976591,199.114648263632,654.244388293198,687.166675087032,658.432182321971,0.00133239697412424,1.60003647355088,2.02146326436448e-06,3.03150977328443,2.87536636226324
"FBtr0085155",721.321338442718,626.530035543565,721.6207819091,1597.99244091836,1757.72669500441,1767.13157744299,0.00208162178320959,1.3101058667898,4.04492026758909e-06,2.47959734919685,2.68159817606774
"FBtr0075699",468.164780454795,380.785000848009,546.223142391295,1688.38629220725,1721.86940541116,1759.01529389078,0.00208162178320959,1.90481532142595,4.47405908269335e-06,3.74460961370316,2.68159817606774
"FBtr0347200",290.539184752266,288.016408471363,295.720143836007,713.272514109443,638.13150205341,714.343006450779,0.00229972079543728,1.23907441537596,5.73646710181391e-06,2.36047043850491,2.6383248876178
"FBtr0076454",949.993774784986,827.624370201476,1009.00732246224,2193.3076606767,2235.17888025232,2406.19237229677,0.00229972079543728,1.29898609932032,5.96227863509658e-06,2.46055898136852,2.6383248876178
"FBtr0088266",225.018401885078,234.586090826828,217.575579297742,534.302428909508,509.803368874736,493.371713153485,0.00229972079543728,1.18361666663771,6.1073589635538e-06,2.2714549091881,2.6383248876178
"FBtr0073426",724.76897638894,540.479633049821,491.215058005314,2504.52362510705,2887.82419565018,2989.7042091586,0.00229972079543728,2.27163770884707,6.39164663047311e-06,4.82870962285013,2.6383248876178
"FBtr0072506",695.034394207982,870.944331781103,827.502241113175,2015.77947178062,1928.95465497783,1980.98963111798,0.00229972079543728,1.31566590673808,6.39659365315382e-06,2.48917197201825,2.6383248876178
"FBtr0077644",1091.12838556002,1220.22738915654,1057.36964627272,2334.09475417876,2628.06243937857,2489.98287800856,0.00235733504864621,1.14758194034437,6.70586492123899e-06,2.21542262446824,2.62757868670051
"FBtr0342813",108.348219960031,166.847001479677,87.3743208165558,1007.84234699466,1104.0212804062,948.236300818658,0.00258221403079579,3.13170396589404,7.50880873737951e-06,8.76469547355755,2.58800776340918
