Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0010223	188	52	56	67	26	29	95	81	80	34	36	36	60.3	85	35	0.409	-1.288	-4.465	8.02551718548615e-06	0.000239876783795722	0	0.0651	0.0397	0.0397	TRUE	0.1141
FBgn0015600	2796	921	951	1926	750	748	1408	1439	1355	982	1049	917	1191.77	1401	983	0.701	-0.512	-4.403	1.06957661639513e-05	0.000315454268948062	0.001	0.0155	0.0088	0.0088	TRUE	0.0388
FBgn0038877	2729	710	866	1752	477	628	1375	1110	1234	893	667	770	1008.06	1240	777	0.628	-0.672	-4.399	1.08868263376797e-05	0.000320029578183873	0.0148	0.016	0.0157	0.0157	TRUE	0.2143
FBgn0028563	2118	817	888	1501	597	673	1067	1277	1265	765	835	825	1005.7	1203	808	0.673	-0.572	-4.383	1.17314773818056e-05	0.000343724569209679	0.0058	0.016	0.0111	0.0111	TRUE	0.1251
FBgn0259749	3043	1100	1275	1688	813	966	1533	1719	1817	861	1137	1184	1375.07	1690	1061	0.627	-0.674	-4.381	1.17966381563384e-05	0.000344500511667233	0.0161	0.0151	0.0162	0.0162	TRUE	0.3408
FBgn0001297	26555	9217	8603	17994	7097	7889	13375	14404	12258	9176	9926	9669	11468.2	13346	9590	0.719	-0.477	-4.378	1.19683283995265e-05	0.000347237462718509	0.0039	0.0131	0.0085	0.0085	TRUE	0.0618
FBgn0050069	9629	2281	1729	4513	1158	1149	4850	3565	2464	2301	1620	1408	2701.26	3626	1776	0.49	-1.029	-4.379	1.19444752476126e-05	0.000347237462718509	0.0881	0.014	0.0393	0.0393	TRUE	0.1265
FBgn0020493	784	232	256	472	168	193	395	363	365	241	235	237	305.74	374	238	0.633	-0.659	-4.373	1.22776164249278e-05	0.00035390527345253	0	0.0231	0.0128	0.0128	TRUE	0.0311
FBgn0263257	280	76	83	125	47	39	141	119	118	64	66	48	92.56	126	59	0.468	-1.096	-4.373	1.2264540928718e-05	0.00035390527345253	0.0074	0.0469	0.0326	0.0326	TRUE	0.2031
FBgn0037222	817	247	273	524	140	200	411	386	389	267	196	245	315.78	395	236	0.601	-0.735	-4.338	1.43474574546541e-05	0.000409592319066038	0.0082	0.0228	0.0171	0.0171	TRUE	0.223
