Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0052056	1675	678	771	2389	1020	1344	844	1060	1099	1218	1427	1647	1215.67	1001	1431	1.432	0.518	3.222	0.00127224276269622	0.0177337500584276	0.0194	0.0154	0.0177	0.0177	TRUE	0.1613
FBgn0011259	642	179	161	1056	283	304	323	280	229	538	396	373	356.57	277	436	1.568	0.649	3.222	0.00127483147751823	0.0177420687035232	0.0312	0.0217	0.026	0.026	TRUE	0.5253
FBgn0265413	3679	1495	1879	6220	2223	2644	1853	2336	2677	3172	3109	3241	2731.42	2289	3174	1.389	0.474	3.218	0.00129157969570607	0.017919159423137	0.016	0.014	0.0152	0.0152	TRUE	0.346
FBgn0035932	42	5	17	86	39	36	21	8	24	44	55	44	32.62	18	48	2.585	1.37	3.213	0.00131551801116275	0.0182228910193259	0.0215	0.1094	0.0909	0.0909	TRUE	0.7195
FBgn0031538	287	116	149	456	216	269	145	181	212	233	302	330	233.75	179	288	1.614	0.691	3.211	0.00132322082644698	0.0183011302813093	0.0315	0.0263	0.0284	0.0284	TRUE	0.3772
FBgn0000042	137948	46027	50826	155693	73446	83437	69480	71932	72422	79394	102726	102268	83036.73	71278	94796	1.33	0.411	3.201	0.00137035782391611	0.0189236854846833	0.0101	0.0129	0.0119	0.0119	TRUE	0.2476
FBgn0052803	503	155	212	755	249	332	253	242	302	385	348	407	322.98	266	380	1.434	0.52	3.195	0.00139988287758761	0.0191827027548813	0.0045	0.0226	0.0157	0.0157	TRUE	0.1424
FBgn0033205	2733	920	1146	4076	1361	1504	1377	1438	1633	2079	1904	1843	1712.13	1483	1942	1.313	0.393	3.191	0.00141630924357684	0.0193779822312426	0.0052	0.0147	0.0103	0.0103	TRUE	0.0939
FBgn0038043	591	195	238	744	342	425	298	305	339	379	478	521	386.7	314	459	1.46	0.546	3.19	0.00142518636953259	0.0194695321985074	0.0145	0.021	0.0182	0.0182	TRUE	0.2976
FBgn0261555	161	49	47	247	94	97	81	77	67	126	131	119	100.16	75	125	1.66	0.731	3.188	0.00143105428897236	0.0195197558221697	0	0.0443	0.0267	0.0267	TRUE	0.0682
