Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0301851	1447	466	475	2104	1214	1344	749	698	669	1074	1667	1667	1087.49	705	1469	2.039	1.028	4.844	1.26945378408635e-06	4.67873060297325e-05	0.0307	0.0319	0.0313	0.0313	TRUE	NA
FBtr0302863	112	35	56	1197	153	125	58	52	79	611	210	155	194.29	63	325	4.37	2.128	4.828	1.37952067706058e-06	5.07382542575442e-05	0.2146	0.0594	0.1281	0.1281	TRUE	NA
FBtr0300649	98	34	56	295	166	122	51	51	79	151	228	151	118.41	60	177	2.934	1.553	4.825	1.39906913417029e-06	5.13504814369433e-05	0.0434	0.0809	0.0628	0.0628	TRUE	NA
FBtr0077604	1471	484	480	2280	824	930	761	725	676	1164	1132	1154	935.34	721	1150	1.595	0.673	4.823	1.41493164773312e-06	5.18251672464733e-05	0	0.0329	0.0128	0.0128	TRUE	NA
FBtr0087232	1805	667	760	2758	1172	1357	934	999	1071	1408	1609	1684	1284.19	1001	1567	1.562	0.643	4.822	1.41899562897391e-06	5.18666356863171e-05	4e-04	0.031	0.0119	0.0119	TRUE	NA
FBtr0310266	415	155	255	961	419	669	215	232	359	491	575	830	450.38	269	632	2.344	1.229	4.814	1.47695069224144e-06	5.38736797864812e-05	0.0488	0.0404	0.0442	0.0442	TRUE	NA
FBtr0337049	244	89	80	398	355	430	126	133	113	203	488	533	266.08	124	408	3.01	1.59	4.814	1.4810177781109e-06	5.39108755402468e-05	0.0983	0.0504	0.0732	0.0732	TRUE	NA
FBtr0071762	1290	482	585	2082	926	1005	668	722	824	1063	1272	1247	965.88	738	1194	1.616	0.692	4.808	1.52529974976682e-06	5.52952415432884e-05	3e-04	0.0327	0.0138	0.0138	TRUE	NA
FBtr0077739	3239	1446	1619	5089	2339	2765	1676	2166	2281	2599	3212	3430	2560.64	2041	3080	1.513	0.597	4.805	1.54441402649414e-06	5.57782548894362e-05	8e-04	0.0285	0.0107	0.0107	TRUE	NA
FBtr0113354	3013	1202	1365	4628	2222	2229	1559	1800	1923	2363	3051	2765	2243.76	1761	2726	1.546	0.629	4.805	1.54492933671492e-06	5.57782548894362e-05	0.0019	0.0288	0.0118	0.0118	TRUE	NA
FBtr0114506	150	53	49	293	147	174	78	79	69	150	202	216	132.23	75	189	2.451	1.293	4.798	1.60160764017407e-06	5.72404863885243e-05	0.0139	0.0752	0.0426	0.0426	TRUE	NA
FBtr0305063	511	200	144	1295	430	366	264	300	203	661	590	454	412.12	256	568	2.218	1.149	4.798	1.59947584652242e-06	5.72404863885243e-05	0.0345	0.0417	0.0381	0.0381	TRUE	NA
FBtr0076364	226	91	130	672	219	275	117	136	183	343	301	341	236.91	145	328	2.294	1.198	4.797	1.60780385285707e-06	5.73460845985776e-05	0.0264	0.0534	0.0396	0.0396	TRUE	NA
FBtr0087816	883	371	367	1655	611	703	457	556	517	845	839	872	681	510	852	1.68	0.749	4.782	1.73735253989852e-06	6.13483109447998e-05	0	0.0355	0.016	0.016	TRUE	NA
FBtr0290326	211	211	177	669	351	523	109	316	249	342	482	649	357.84	225	491	2.325	1.217	4.778	1.76848909203405e-06	6.23233875043315e-05	0.0423	0.0441	0.0433	0.0433	TRUE	NA
FBtr0332204	283	144	148	850	277	318	146	216	208	434	380	395	296.6	190	403	2.162	1.113	4.772	1.82646595027428e-06	6.3857725546052e-05	0.0238	0.0479	0.035	0.035	TRUE	NA
FBtr0336667	58	23	6	340	58	104	30	34	8	174	80	129	75.87	24	128	5.211	2.382	4.767	1.87139891280184e-06	6.52996413538016e-05	0.221	0.1118	0.1504	0.1504	TRUE	NA
FBtr0078136	149	45	54	315	124	158	77	67	76	161	170	196	124.62	73	176	2.367	1.243	4.76	1.93177884432998e-06	6.71416493812215e-05	0	0.0782	0.0389	0.0389	TRUE	NA
