Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0079148	121	19	45	4	5	4	63	28	63	2	7	5	28.06	51	5	0.08	-3.639	-4.984	6.24377317935687e-07	2.4223375288597e-05	0.2582	0.258	0.2581	0.2581	TRUE	NA
FBtr0299952	460	127	150	190	73	70	238	190	211	97	100	87	153.95	213	95	0.443	-1.175	-4.982	6.30181726896862e-07	2.43950654935063e-05	0	0.0682	0.032	0.032	TRUE	NA
FBtr0076541	284	49	60	46	12	24	147	73	85	23	16	30	62.44	102	23	0.234	-2.098	-4.979	6.3983782033353e-07	2.4714783579739e-05	0.0625	0.1302	0.0991	0.0991	TRUE	NA
FBtr0077981	2689	1220	1382	1834	837	939	1392	1827	1947	937	1149	1165	1402.77	1722	1084	0.633	-0.66	-4.962	6.97251589291093e-07	2.68153866655407e-05	0.0012	0.0306	0.012	0.012	TRUE	NA
FBtr0332120	2753	790	694	1501	484	494	1425	1183	978	766	665	613	938.28	1195	681	0.572	-0.806	-4.96	7.05884196398947e-07	2.70884974370797e-05	0.0068	0.0329	0.0177	0.0177	TRUE	NA
FBtr0339764	6895	1678	1408	4222	931	885	3568	2513	1983	2156	1279	1098	2099.59	2688	1511	0.553	-0.854	-4.958	7.12351639471274e-07	2.72775169997539e-05	0.0154	0.029	0.0208	0.0208	TRUE	NA
FBtr0113158	1470	349	372	853	231	226	761	523	524	436	317	280	473.45	603	344	0.571	-0.808	-4.955	7.24178955918053e-07	2.7670518162303e-05	0	0.0397	0.0165	0.0165	TRUE	NA
FBtr0087415	570	91	86	264	33	40	295	136	121	135	45	50	130.37	184	77	0.403	-1.31	-4.95	7.41792589180547e-07	2.82824411534333e-05	0.0061	0.0759	0.0382	0.0382	TRUE	NA
FBtr0345114	1562	383	336	632	220	225	808	574	473	323	302	279	459.89	618	301	0.494	-1.016	-4.939	7.86796208340308e-07	2.99337886489213e-05	0.0176	0.0401	0.0278	0.0278	TRUE	NA
FBtr0299967	359	111	120	164	52	57	186	166	169	84	71	71	124.49	174	75	0.434	-1.204	-4.931	8.20028184105308e-07	3.10981047562191e-05	0	0.0782	0.033	0.033	TRUE	NA
FBtr0308629	257	151	92	73	42	51	133	226	130	37	58	63	107.83	163	53	0.318	-1.653	-4.93	8.20915432771145e-07	3.10981047562191e-05	0.0511	0.0863	0.0682	0.0682	TRUE	NA
FBtr0071466	413	136	159	203	69	79	214	204	224	104	95	98	156.31	214	99	0.463	-1.11	-4.911	9.07049597454326e-07	3.41417328267329e-05	0	0.0676	0.0291	0.0291	TRUE	NA
FBtr0074555	88	179	143	45	15	13	46	268	201	23	21	16	95.8	172	20	0.146	-2.774	-4.911	9.06252943420337e-07	3.41417328267329e-05	0.343	0.0939	0.2044	0.2044	TRUE	NA
